02463d252.png,02463d608.png,02463d632.png,04200d68.png,04201d132.png,04201d380.png,04201d426.png,04202d133.png,04202d392.png,04202d544.png
1.0,0.80056524,0.6828613,0.069168344,0.44604018,0.37001473,0.31949022,0.18769208,0.27148256,0.23116595
0.80056524,1.0000001,0.775274,0.15686028,0.5057912,0.55793244,0.4792461,0.19468278,0.32632273,0.25468206
0.6828613,0.775274,1.0,0.11796017,0.35881063,0.36203936,0.32788256,0.17288975,0.27437437,0.20925808
0.069168344,0.15686028,0.11796017,1.0,0.21334593,0.35757416,0.35546967,0.23719469,0.09358038,0.1948356
0.44604018,0.5057912,0.35881063,0.21334593,1.0,0.6941556,0.7393276,0.32241705,0.40667945,0.35171664
0.37001473,0.55793244,0.36203936,0.35757416,0.6941556,1.0,0.8844877,0.36648276,0.5108284,0.42485124
0.31949022,0.4792461,0.32788256,0.35546967,0.7393276,0.8844877,1.0000001,0.33390787,0.4124213,0.3398035
0.18769208,0.19468278,0.17288975,0.23719469,0.32241705,0.36648276,0.33390787,1.0,0.85061675,0.8836775
0.27148256,0.32632273,0.27437437,0.09358038,0.40667945,0.5108284,0.4124213,0.85061675,1.0,0.9231737
0.23116595,0.25468206,0.20925808,0.1948356,0.35171664,0.42485124,0.3398035,0.8836775,0.9231737,1.0
